"統計期","平均氣溫[0C]","平均相對溼度[%]","日照時數[小時]","降水量[毫米]","降水日數[日]"
"87年 1月",16.1,83,48.5,138.7,17
"87年 2月",16.6,83,35.6,424.5,22
"87年 3月",19,81,81,208.3,15
"87年 4月",24.2,76,110.6,400,21
"87年 5月",25.9,79,110.8,553.3,21
"87年 6月",28,76,78.5,314.9,17
"87年 7月",30.2,69,181.7,273,15
"87年 8月",29.6,75,184.4,394.9,14
"87年 9月",26.7,77,135.9,485.2,14
"87年 10月",24.8,81,91,997.7,17
"87年 11月",22.3,78,90.9,87.1,13
"87年 12月",19.3,79,37.8,127.1,15
"88年 1月",17.1,80,55.4,57.7,14
"88年 2月",16.7,74,103.6,16.1,5
"88年 3月",19.5,84,65.3,157,14
"88年 4月",22.3,73,108,49.8,12
"88年 5月",23.9,76,93.5,280.3,18
"88年 6月",27.8,80,113.8,530.6,17
"88年 7月",29.1,76,112.3,231.7,17
"88年 8月",28.4,77,179.3,330.4,21
"88年 9月",27.9,73,147.6,37.3,7
"88年 10月",25.1,76,86.3,123.5,13
"88年 11月",21.1,78,49.3,41.9,10
"88年 12月",17,77,24.7,101.8,15
"89年 1月",17,79,53.1,35.7,15
"89年 2月",16,84,15.2,329.1,18
"89年 3月",18.4,80,42.1,124.1,11
"89年 4月",21.2,83,35.4,360.1,21
"89年 5月",25.3,71,97.6,84.3,8
"89年 6月",27.9,79,123.9,354.3,14
"89年 7月",29.6,71,157.1,194.3,13
"89年 8月",28.4,79,129.2,582.7,19
"89年 9月",27.2,71,149.5,46.8,8
"89年 10月",25.7,79,42.7,166.1,13
"89年 11月",22.1,83,52,289.1,17
"89年 12月",19.7,79,85.3,177.4,17
"90年 1月",17.5,78,117.9,203.6,14
"90年 2月",18.1,79,97.7,24.7,9
"90年 3月",19.1,74,127.1,174.1,18
"90年 4月",21.9,80,65.4,177,20
"90年 5月",25.4,81,80,127.1,19
"90年 6月",28.5,74,150,105.9,16
"90年 7月",29.5,74,166.6,263.3,15
"90年 8月",30.1,72,231.9,156.8,10
"90年 9月",26.5,83,89.2,1490.8,23
"90年 10月",24.2,76,138.9,86.7,11
"90年 11月",20.5,70,130.5,15.9,9
"90年 12月",18.4,77,101.4,36.2,10
"91年 1月",16.1,77,118.4,65.2,11
"91年 2月",17.8,77,105.1,58.3,9
"91年 3月",21.1,76,125,130.7,12
"91年 4月",23.8,80,129.2,29.6,9
"91年 5月",26.6,75,146.8,92.8,8
"91年 6月",28.6,79,142.2,154.2,11
"91年 7月",29.6,75,186.7,314.1,13
"91年 8月",30.1,71,220.1,57.6,8
"91年 9月",27.1,75,128.9,228.4,14
"91年 10月",25.1,74,127.9,61.4,13
"91年 11月",20.8,72,98.9,58.2,14
"91年 12月",18.9,79,94.6,95.9,14
"92年 1月",16.2,71,136.8,72.9,9
"92年 2月",17.6,78,101.3,20.2,8
"92年 3月",18.2,78,90.5,86.2,13
"92年 4月",23.6,79,120,132.8,13
"92年 5月",25.1,78,112.6,88.8,9
"92年 6月",27.4,79,127.7,201.1,15
"92年 7月",30.8,73,206.3,83,9
"92年 8月",30.1,73,206,163.7,13
"92年 9月",28.4,75,183,214.2,12
"92年 10月",24.4,71,199.9,70.3,9
"92年 11月",22.3,82,73.6,57.6,14
